Address-City|Address-Country|Address-State|Address-Street Direction|Address-Street Name|Address-Street Number|Address-Unit Number|Address-Zip|Appliance Description|Association Fee|Cooling Description|Directions|Garage Description|Heating Description|List Date|Lot Description|Lot Size-Acres|MLS Board|Listing Agent ID|Listing Agent Name|Listing Office ID|Listing Office Name|Listing Office Phone|Listing Modified Date|MLS Number|Property Type|Amenities|Pool Description|Price|Property Class|Room Count-Total Bedrooms|Room Count-Total Full Baths|Room Count-Total Half Baths|Room Count-Total Rooms|School District|School-Elementary|School-High|School-Middle|Sewer|SQFT|Tax|Tax ID|Tax Year|Year Built|MLS Listing Status|Remarks|Basement Description|Basement YN|Golf Club YN|Horse Facilities YN|Health Club YN|Display Address on Internet YN|Virtual Tour URL|List Agent E-Mail Address|Fireplaces|Relocation Membership ID|RentalType|RentalPrice|CountyName|Subdivision|ExteriorAmenities|Listing CoAgent ID|Listing CoAgent Name
PEBBLE BEACH|USA|CA||1003 Rodeo Road|||93953|Countertop - Granite,Countertop - Marble,Dishwasher,Freezer,Island with Sink,Oven - Double,Pantry,Skylight,Wine Refrigerator||None|||Central Forced Air|2017-06-12 13:54:46|Grade - Gently Sloped,Grade - Mostly Level,Views|0.287|MLSLV4|01746797|Marta Karpiel|APR-09|Carmel||2018-02-01 01:08:09|ML81655611|Single Family|Built-in Vacuum,Dumbwaiter,Garden Window,High Ceiling ,Open Beam Ceiling,Skylight,Vaulted Ceiling ,Walk-in Closet||3550000.00|Single Family|3|3|2||Pacific Grove Unified|||||4186||||1989|Active|Instantly recognizable, this prominent contemporary home in a prime Pebble Beach Monterey Peninsula Country Club (MPCC) boasts captivating ocean views spanning from Bird Rock to the dunes of MPCC to stately Cypress trees. Designed by R.M. Crocker offering a stunning reverse floor plan with 4186 sf overlooking the ocean, 3 full luxurious en-suites & 2 half baths. Distinguished office with trayed ceiling & large bay window replete w/built-ins is graced w/ocean views & complete privacy. Over 838 sf of ocean view terraces create a natural flow for the living & dining rooms making stylish entertaining effortless. Soaring ceilings & walls of windows accent taking full advantage of the location & extraordinary sunsets. A magnificent kitchen remodeled in 2012 features custom cabinetry, multiple islands, Sub Zero fridge, heated floor, granite counters & large walk-in pantry. Set on a sun drenched corner lot directly across the street from the MPCC in the heart of Pebble Beach's prized addresses||N|N|N|N|Y|https://www.1003rodeo.com/|mkarpiel@apr.com||12176|||Monterey||||
ATHERTON|USA|CA||1 Belbrook Way|||94027|Cooktop - Electric,Countertop - Stone,Dishwasher,Dual Fuel,Exhaust Fan,Freezer,Hood Over Range,Ice Maker,Island,Microwave,Oven - Double,Oven Range - Built-In,Refrigerator,Warming Drawer,Wine Refrigerator||None|||Central Forced Air - Gas,Fireplace ,Heating - 2+ Zones,Radiant Floors|2017-06-14 16:21:01|Grade - Level,Paved ,Stream - Year Round|1.072|MLSLV4|01247404|Alireza Faghiri|APR-05|Menlo Park||2018-02-01 01:08:09|ML81655987|Single Family|High Ceiling ,Skylight,Video / Audio System,Walk-in Closet ,Wet Bar||16880000.00|Single Family|6|7|2||Las Lomitas Elementary|||||11437||||2017|Active|Just completed, this striking contemporary is a marriage of artful inspiration, astute engineering, and meticulous attention to detail. A thoughtful departure from the straight lines and sharp angles of most contemporary structures, the home's unique sophistication is immediately revealed through flowing curved metal roof and mirroring two-story front window. Beyond the dramatic roof line, no element has been overlooked in the planning and design-from the careful position of the home maximizing the creek side setting, to details as minute as the curve of each sconce light. The result is a truly bespoke retreat, complete with all the amenities for a quintessential California lifestyle. Fine white oak floors and deep reveals in lieu of moldings unify the home, while stunning selections of textured stone and quartz uniquely appoint each room. 3 levels, all serviced by elevator are intelligently arranged for comfortable everyday living.||N|N|N|N|Y||afaghiri@apr.com||12176|||San mateo||||
CARMEL|USA|CA||0 SE Mountain View|||93921|Dishwasher,Garbage Disposal,Island,Oven Range - Gas,Pantry,Refrigerator||None|Proceed up Mountain View from 5-way stop by Carmel Plaza, At end of Mountain View, turn right. Home will be 6 houses down on the left.||Central Forced Air - Gas|2017-06-17 11:13:00||0.14|MLSLV4|00929953|Susan Clark|APR-09|Carmel||2018-02-01 01:08:09|ML81656486|Single Family|High Ceiling ,Skylight,Walk-in Closet||2275000.00|Single Family|3|3|1||Carmel Unified||Carmel High|Carmel Middle||2503||||1994|Active|Appearing as if it just arrived from the English countryside, "Crespi Cricket" is the quintessential Carmel cottage. Its storybook charm captures ones imagination and convinces you that dreams really do come true. At 2503 SF, this three bedroom, three and a half bath home is spacious and roomy with hardwood floors throughout. The gourmet kitchen with its 6-burner Viking gas range and large island in the center is ideal for creating the perfect meal for family and friends to be enjoyed in the formal dining room close by. After dinner curl up in front of one of the three fireplaces - perhaps in the cozy family room? At bedtime the appealing master bedroom awaits featuring a fireplace and two full bathrooms for convenience. There is a one-car garage with two off street parking spaces. Enjoy the outdoors around the fire pit or on the rear deck viewing Mission Trail Park. Best of all this amazing home is located close to the village for easy access to shops and restaurants.||N|N|N|N|Y|http://tours.tourfactory.com/tours/tour.asp?r=MLSListings.com&t=1808239|sclark@apr.com||12176|||Monterey||||
LOMA MAR|USA|CA||0000 Pescadero Creek Road|||94021|||None||||2017-06-22 16:20:22|Farm Animals (Permitted),Grade - Mostly Level,Grade - Rolling,Private / Secluded,Views|70|MLSLV4|01044049|Patrick Ryan|APR-06|San Mateo||2018-02-01 01:08:09|ML81667221|Land|||875000.00|Land|0|0|0||La Honda-Pescadero Unified||||||||||Active|70 acres of nature with ocean, mountain and valley views. This property has a previous ag well which will need further developement. Owners had used RV and generator for extended periods of enjoying the property. Perfect property for peaceful and private home site. Good for cattle, horses or other livestock as well.||N|N|N|N|Y|http://tour.bayareatourwizards.com/4157/|pjryan@apr.com||12176|||San mateo||||
SAN JOSE|USA|CA||19856 Graystone Lane|||95120|||None|||Electric|2017-06-30 16:26:52|Grade - Gently Sloped,Grade - Varies|1.319|MLSLV4|00848111|Jim Hamilton|APR-02|Los Gatos||2018-01-29 14:37:13|ML81668219|Single Family|||998000.00|Single Family|2|1|0||San Jose Unified|Graystone Elementary|Leland High|Bret Harte Middle||833||||1950|Pending|$100,000 price reduction! Opportunity rarely knocks twice! Don't miss out. Here's your chance to own a little piece of paradise. With just a little over an acre and a quarter, there's definitely room to stretch out! It's easy to get to, and once you're there, the views of the valley and surrounding hills are breathtaking! Electricity and water already at the property. Great schools nearby - Graystone Elementary, Bret Harte Middle, and Leland High School! You're close to town, but feels like you're out in the country. Don't miss a once in a lifetime opportunity.||N|N|N|N|Y||jhamilton@apr.com||12176|||Santa clara||||
SAN JOSE|USA|CA||19856 Graystone Lane|||95120|||None||||2017-06-30 16:49:48|Views|1.319|MLSLV4|00848111|Jim Hamilton|APR-02|Los Gatos||2018-01-29 14:35:44|ML81668223|Land|||998000.00|Land|0|0|0||San Jose Unified|Graystone Elementary|Leland High|Bret Harte Middle|||||||Pending|$100,000 price reduction! Opportunity rarely knocks twice! Don't miss your out! Here's your chance to own a little piece of paradise. With just a little over an acre and a quarter, there's definitely room to stretch out! It's easy to get to, and once you're there, the views of the valley and surrounding hills are breathtaking! Electricity and water already on the property. Great schools nearby - Graystone Elementary, Bret Harte Middle, and Leland High School! You're close to town, but feels like you're out in the country. Don't miss a once in a lifetime opportunity.||N|N|N|N|Y||jhamilton@apr.com||12176|||Santa clara||||
SARATOGA|USA|CA||19581 Juna Lane|||95070|220 Volt Outlet,Cooktop - Gas,Countertop - Granite,Dishwasher,Exhaust Fan,Garbage Disposal,Hood Over Range,Island with Sink,Microwave,Pantry,Refrigerator||None|||Central Forced Air|2017-07-03 14:38:28|Grade - Mostly Level|1.191|MLSLV4|70000314|Dana Rogers Burns &  Cyndi Stewart|APR-01|Saratoga||2018-02-01 01:08:09|ML81668390|Single Family|High Ceiling ,Vaulted Ceiling ,Walk-in Closet ,Wet Bar||6988880.00|Single Family|6|8|2||Saratoga Union Elementary||Saratoga High|Redwood Middle||10088||||2006|Active|Alluring Estate in the desirable Glen Una Neighborhood. Incredible single level floor plan with bonus lower level featuring high ceilings and secondary access by elevator. Perfect for multi-generational living. Sited on a private cul-de-sac featuring the utmost in privacy. Two extraordinary levels offering both formal and casual living areas. Magnificent and well equipped kitchen, opens to casual dining and large family room all overlooking the vast backyard featuring a true swimmer's pool and spa. Separate pool house with bath, fireplace and kitchen. Sumptuous master suite with fireplace and sitting area. Five ensuite bedrooms plus two library/office (one with bathroom), movie theater and bonus room with bar, wine cellar, four car garage and more! Saratoga Schools||N|N|N|N|Y|http://tours.tourfactory.com/tours/tour.asp?r=MLSListings.com&t=1814229|danaandcyndi@apr.com||12176|||Santa clara||||
CARMEL|USA|CA||3593 Eastfield Court|||93923|220 Volt Outlet,Cooktop - Electric,Countertop - Granite,Dishwasher,Exhaust Fan,Garbage Disposal,Hood Over Range,Hookups - Ice Maker,Oven - Built-In,Oven - Double,Oven - Electric,Oven - Self Cleaning,Refrigerator|200.00|None|Hwy 1 to Carmel, turn east on Carpenter which becomes High Meadow Drive and continue to entry gate "Eastfield". Call agent for gate code. Turn right on Eastfield Rd to Eastfield Ct, 4th house on the right side.||Central Forced Air - Gas|2017-07-07 00:00:00|Grade - Sloped Down  ,Views,Zero Lot Line|0.045|MLSLV4|01251523|Ed Stellingsma|APR-09|Carmel||2018-01-29 14:37:14|ML81668924|Single Family|Open Beam Ceiling,Skylight,Vaulted Ceiling ,Walk-in Closet ,Wet Bar||1195000.00|Single Family|3|3|0||Carmel Unified|Carmel River Elementary|Carmel High|Carmel Middle||2400||||1990|Pending|Views of the ocean, Pt. Lobos and the Santa Lucia Mountains from this elegant 3 bed/3bath home with 3 car garage and ample on-site parking. First time on market by orig. owner. Located in the exclusive gated community of "Eastfield" in Carmel's High Meadows. A formal entry welcomes you into this split level, light-filled home with vaulted ceilings. Oriented towards a sunny southwest exposure to enhance privacy and to take full advantage of the views. Large kitchen with granite counter tops and light filled sun room to enjoy breakfast as nature's ever changing views unfold. Conveniently located within minutes of Carmel-by-the-Sea with easy access to beaches, shopping and world-renowned golf courses. Carmel Unified School District.||N|N|N|N|Y||ed@apr.com||12176|||Monterey||||
LOS GATOS|USA|CA||16181 MATILIJA Drive|||95030|Cooktop - Gas,Countertop - Other,Dishwasher,Exhaust Fan,Garbage Disposal,Hood Over Range,Hookups - Gas,Ice Maker,Island,Oven - Built-In,Oven - Double,Oven - Gas,Oven - Self Cleaning,Refrigerator,Warming Drawer||None|||Central Forced Air - Gas|2017-07-10 09:22:22|Grade - Hilly,Grade - Varies,Private / Secluded,Views,Vineyard|1.095|MLSLV4|00922957|David Welton|APR-01|Saratoga||2018-02-01 01:08:09|ML81669179|Single Family|Security Gate,Skylight,Vaulted Ceiling ,Walk-in Closet ,Wet Bar||5350000.00|Single Family|4|5|0||Saratoga Union Elementary|||||5370||||1957|Active|Stunning gated luxury estate sited on one of the most prestigious streets in Los Gatos/Saratoga. Surrounded by other multi-million dollar estates, Matilija Drive offers rare sanctuary and true retreat from Silicon Valley, yet is convenient to fine dining, schools and commute. Greek-inspired European design and exquisite craftsmanship combine to create a residence offering the ultimate in luxurious retreat and state-of-the-art convenience. Main residence boast 5,028+/- SF of living area, plus there is a 342+/- pool/guest house. Grand gourmet kitchen opens to family great room. Exceptional grounds with lush gardens, vineyard, outdoor fireplace, pavilion, custom fountain and pool. Dramatic valley/city light and mountain views. Saratoga schools and much more...||N|N|N|N|Y|http://tours.tourfactory.com/tours/tour.asp?r=MLSListings.com&t=1769467|dwelton@apr.com||12176|||Santa clara||||
CARMEL|USA|CA||0 NW 4th Street, # 5|||93921|Cooktop - Gas,Countertop - Granite,Dishwasher,Refrigerator|732.00|None|||Central Forced Air|2017-07-24 14:28:36||0.029|MLSLV4|00966788|Kristi Knutzen|APR-09|Carmel||2018-02-01 01:08:09|ML81671207|Single Family|High Ceiling||1699000.00|Single Family|2|2|0||Carmel Unified|||||1536||||1997|Active|Spectacular jaw dropping views of Monastery Beach, Pt. Lobos and Stillwater Cove from this fabulous upgraded pied-a-terre...spacious one level floor plan...vaulted ceilings...great natural lighting...remodeled in 2010...underground parking with one assigned space...extra large storage area...this is a must see!!!||N|N|N|N|Y|http://tours.tourfactory.com/tours/tour.asp?r=MLSListings.com&t=1841262|kknutzen@apr.com||12176|||Monterey||||
SARATOGA|USA|CA||15625 PEACH HILL Road|||95070|Cooktop - Gas,Countertop - Tile,Dishwasher,Exhaust Fan,Freezer,Garbage Disposal,Hood Over Range,Island with Sink,Oven - Double,Oven - Self Cleaning,Pantry,Refrigerator,Skylight,Trash Compactor,Warming Drawer||None|||Heating - 2+ Zones,Radiant Floors|2017-07-24 17:46:42||2.6|MLSLV4|00922957|David Welton|APR-01|Saratoga||2018-02-01 01:08:09|ML81671249|Single Family|Floor Drain,High Ceiling ,Open Beam Ceiling,Skylight,Vaulted Ceiling ,Video / Audio System,Walk-in Closet ,Wet Bar||5200000.00|Single Family|4|4|0||Saratoga Union Elementary|||||5060||||1993|Active|Stunning Spanish Mediterranean rival. Sited on 2.6+/- acres in one of the most highly sought out areas of Saratoga. Unsurpassed city light/valley and mountain views. Surrounded by other multi-million dollar estates, this home offers rare sanctuary and true retreat from Silicon Valley, yet is convenient to dining, award winning Saratoga schools and commute. The architectural design is amazing. Filled with old-world character and charm yet you have soaring ceilings and a modern open floor plan design. Large chef's gourmet kitchen with all the amenities. Grand formal dining room. Living/family room is extraordinary accented by soaring ceilings, custom wood beams and an oversized fireplace. Dramatic views from every room in the home. Loggia off living/family room is spectacular with peerless od the Bay Area/Silcon Valley. The main residence offers 5,060+/- SF of living area plus there is a guest unit/apartment over the garage. Saratoga schools!||N|N|N|N|Y|http://tours.tourfactory.com/tours/tour.asp?r=MLSListings.com&t=1829275|dwelton@apr.com||12176|||Santa clara||||
LOS GATOS|USA|CA||15995 Cerro Vista Drive|||95032|220 Volt Outlet,Cooktop - Gas,Countertop - Granite,Dishwasher,Garbage Disposal,Island,Microwave,Oven - Double,Pantry,Refrigerator,Trash Compactor||None|||Central Forced Air - Gas,Fireplace ,Heating - 2+ Zones|2017-08-01 11:46:42||1.14|MLSLV4|70010073|Nevis and Ardizzone Team|APR-02|Los Gatos||2018-02-01 01:08:09|ML81672289|Single Family|High Ceiling ,Skylight,Walk-in Closet||4380000.00|Single Family|5|4|1||Los Gatos Union Elementary|||||5800||||1992|Active|Stunning contemporary design & extraordinary architecture on 1.14ac in Los Gatos. This unique estate includes 5,800+sf main house, complementary 970+/-sf guest house overlooking pool/spa, & multiple outdoor entertainment areas surrounded by majestic trees. Property has been exquisitely remodeled by the current owners using the finest materials & craftsmanship creating a look of class & distinction. Aesthetically pleasing floor plan offers generous rooms, walls of windows, soaring ceilings, hardwoods, & 3 fireplaces. Resort-like Master retreat, epicurean Kitchen & dining nook, Library/Media room w/surround sound, office, wine rm & 2-room suite w/private access. Spectacular, private setting boasts commanding views of the Silicon Valley & surrounding foothills from almost every room yet is just minutes to town, schools, freeways & other local amenities. Entertain on a grand scale or simply enjoy the luxurious lifestyle & tranquility of this special residence.||N|N|N|N|Y|http://www.15995cerrovistadrive.com|nevisandardizzoneteam@apr.com||12176|||Santa clara||||
MONTEREY|USA|CA||7410 Alturas Court|||93940|Cooktop - Gas,Countertop - Granite,Dishwasher,Exhaust Fan,Freezer,Garbage Disposal,Ice Maker,Island with Sink,Oven - Built-In,Pantry,Refrigerator,Wine Refrigerator|376.00|None|||Central Forced Air,Fireplace ,Gas,Heating - 2+ Zones|2017-08-02 13:53:18|Grade - Varies,Views|2.28|MLSLV4|01746797|Marta Karpiel|APR-09|Carmel||2018-02-01 01:08:09|ML81672487|Single Family|Built-in Vacuum,High Ceiling ,Open Beam Ceiling,Security Gate,Vaulted Ceiling ,Video / Audio System,Walk-in Closet||3850000.00|Single Family|4|4|1||Monterey Peninsula Unified|||||5435||||2001|Active|Nestled on over 2 stunning view acres rests the quintessential estate Casa Ventana: an unparalleled fusion of exquisite details, architecture, grand yet inviting interiors & stunning outdoor entertainment areas in one of the finest locations on the Monterey Peninsula. Divinely designed by award winning architect Patrick Edinger & perfected by Lee Garland Design, this romantic estate is a definitive testimony of vision, luxury & perfection. A visual feast w/ 20 feet foyer, custom lights by Steve Handleman, & a handcrafted front door opens to the grandeur living room w/dramatic windows & hand distressed beam ceilings. Graceful arches of the galleria create a sense of privacy, while southern exposure walls of windows fill the living spaces & 4 en-suites (2 master suites) with natural light.The perfectly designed state of the art kitchen opens to the butler pantry & breakfast rotunda leading to the gracious family room that will quickly become a most beloved area of this remarkable estate.||N|N|N|N|Y|https://vimeo.com/228443195|mkarpiel@apr.com||12176|||Monterey||||
LOMA MAR|USA|CA||8140 Pescadero Creek Road|||94021|||None||||2017-08-03 10:44:42|Grade - Hilly|290|MLSLV4|70000738|Diane Chesler|APR-07|Woodside||2018-02-01 01:08:09|ML81672602|Land|||8888000.00|Land|0|0|0||La Honda-Pescadero Unified||||||||||Active|8140 is not a real address. County has not assigned an address for these parcels. Four parcels included: 084-023-010, 084-101-050, 084-110-050, 084-110-040, totaling 290+/- acres zoned TPZ. Beautiful property consists of ridge top locations, spectacular mountain/canyon views, vertical sandstone walls, outcrops and bluffs. Vegetation predominantly young and older Redwood trees and Douglas fir, Tanoak, Madrone and other typical coastal tree species. Much of the property has been selectively harvested since the 1970's.||N|N|N|N|Y||dchesler@apr.com||12176|||San mateo||||
CARMEL|USA|CA||30950 Aurora Del Mar|||93923|220 Volt Outlet,Cooktop - Electric,Countertop - Granite,Dishwasher,Exhaust Fan,Garbage Disposal,Microwave,Oven - Built-In,Oven - Electric,Oven - Self Cleaning,Refrigerator,Skylight,Trash Compactor|500.00|None|||Individual Room Controls,Radiant|2017-08-06 18:52:47|Grade - Mostly Level,Grade - Varies,Private / Secluded,Views|1|MLSLV4|00703550|Judie Profeta|APR-09|Carmel||2018-02-01 01:08:09|ML81672985|Single Family|Bay Window,Built-in Vacuum,High Ceiling ,Open Beam Ceiling,Security Gate,Skylight,Vaulted Ceiling ,Walk-in Closet||6499000.00|Single Family|3|2|0||Carmel Unified||Carmel High|Carmel Middle||2620||||1981|Active|This is a stunner! Located at the end of Otter Cove for maximum privacy, this single level remodeled home sits above Otter Cove with panoramic views of the ocean. Imagine spending time with family overlooking the ocean on the large terrace surrounded by a seating wall and an outdoor fire pit. Extensive outdoor lighting enhances the functionality of this beautiful space. The house sits above the ocean beautifully protected by the rock formations below. The floor plan is open and light with walls of windows and a huge rock fireplace in the living room for those cool nights. The kitchen is open to the views and is fabulous for entertaining. Most every window in the house has extra wide window ledges suitable for sitting to enjoy the views throughout the house. Ceilings are high and there are skylights everywhere for maximum light. Extensive work has been done both inside and outside.||N|N|N|N|Y|http://www.tourfactory.com/1912028|jprofeta@apr.com||12176|||Monterey||||
LOS GATOS|USA|CA||19544 Glen Una Drive|||95030|Garbage Disposal,Oven Range - Gas||None|||Wall Furnace|2017-08-08 11:08:23|Grade - Level,Grade - Sloped Down|1.182|MLSLV4|01135431|Tiger & Cindy Teerlink|APR-01|Saratoga||2018-02-01 01:08:09|ML81673194|Single Family|||2700000.00|Single Family|3|2|0||Saratoga Union Elementary|||||1153||||1949|Active|Mostly flat lot with old home located in the prestigious Glen Una Neighborhood between Saratoga and Los Gatos. Value is in the land with almost 1.2 acres of usable property. Beautiful mature Oak Trees provide shade in the hot summers with plenty of sunny open space for pool, sports courts and more. this is your chance to build your dream home the way you have always wanted it. Quiet and private. Do Not Wait!||N|N|N|N|Y|http://tours.tourfactory.com/tours/tour.asp?r=MLSListings.com&t=1883160|teerlink@apr.com||12176|||Santa clara||||
LOS GATOS|USA|CA||19544 Glen Una Drive|||95030|||None||||2017-08-08 11:19:24|Grade - Level|1.182|MLSLV4|01135431|Tiger & Cindy Teerlink|APR-01|Saratoga||2018-02-01 01:08:09|ML81673201|Land|||2900000.00|Land|0|0|0||Saratoga Union Elementary||||||||||Active|Mostly flat lot with old home located in the prestigious Glen Una Neighborhood between Saratoga and Los Gatos. Value is in the land with almost 1.2 acres of usable property. Beautiful mature Oak Trees provide shade in the hot summers with plenty of sunny open space for pool, sports courts and more. This is your chance to build your dream home the way you have always wanted it. Quiet and private. Owner/Builder will design and build to your specifications.||N|N|N|N|Y|http://www.tourfactory.com/1883160|teerlink@apr.com||12176|||Santa clara||||
PEBBLE BEACH|USA|CA||1139 Portola Road|||93953|220 Volt Outlet,Countertop - Marble,Dishwasher,Exhaust Fan,Garbage Disposal,Hood Over Range,Hookups - Gas,Island with Sink,Microwave,Oven - Built-In,Oven Range,Pantry,Refrigerator||None|From Pebble Beach Lodge continue on 17 Mile Drive to Alva Lane - Right on Alva Lane to Padre Lane - Left on Padre Lane to the end - 1139 Portola Road .entry is across the road~||Central Forced Air,Heating - 2+ Zones|2017-08-09 16:20:10|Grade - Gently Sloped,Grade - Sloped Up|1.384|MLSLV4|01264129|Carla White|APR-09|Carmel||2018-02-01 01:08:09|ML81673410|Single Family|High Ceiling ,Video / Audio System,Walk-in Closet||8750000.00|Single Family|4|4|1||Carmel Unified|||||4207||||2017|Active|New Construction Completed 2017~ Ocean views of Bird Rock, Cypress Point Club fairways & beyond.Sea Pines resides on coveted Cypress Point & is so very private ! Spacious single level residence enjoys Ocean views from almost every room lending itself to entertaining.Open floor plan flows out to the 1400' ocean view terrace with fire pit and glass panels for year round enjoyment. Enter through a private security gate and behold the most enchanted park like setting of approximately 1.38 acres and is like no other. Meandering pathways surrounded by Redwood and Oak trees lead to the grand Portico entry. High ceilings, plastered walls and French doors allow Sunlight to flow in from all directions. 4 bedrooms (en Suite) master baths steam shower and free standing soak tub. Automatic driveway gate to the motor courts 3 car garage with epoxy floors,Tesla & Golf cart charger. Slate roof, Copper chimney shrouds, gutters & downspouts. Smart Home technology and security system with cameras ~||N|N|N|N|Y|http://www.tourfactory.com/1845846|cwhite@apr.com||12176|||Monterey||||
MONTARA|USA|CA||202 11th Street|||94037|220 Volt Outlet,Cooktop - Gas,Countertop - Granite,Dishwasher,Garbage Disposal,Hood Over Range,Microwave,Oven - Double,Refrigerator||None|On the south side of 11th, between Main Street and Farallone Ave||Central Forced Air|2017-08-18 08:59:23|Grade - Mostly Level|0.207|MLSLV4|01949984|David Oliphant|APR-11|Half Moon Bay||2018-02-01 01:08:09|ML81674568|Single Family|High Ceiling ,Inverted Floor Plan,Skylight,Vaulted Ceiling ,Walk-in Closet||1890888.00|Single Family|5|3|0||Cabrillo Unified|||||3087||||2004|Active|This custom built home was designed and built by owner and builder Thomas Mahon. This stunning Victorian Style home features ocean views from many rooms with its inverted floor plan layout. The quality craftmanship of this home surpass's many homes on the coast. The incredible chefs kitchen features stainless Viking appliances including a 6 burner gas cooktop with stainless hood, double ovens, ocean views and more. The master bedroom features a turret and sitting area with views, an incredible spa like bath with a solarium to rest and relax before you being your day. Full walk-in basement, mature landscaping and a separate 3rd car garage. A separate room on the ground level has its own entrance and 1/2 bath and would be perfect as an in-law, guest suite or aupair. Three fire places and duel zone forced air.||N|N|N|N|Y|http://tours.tourfactory.com/tours/tour.asp?r=MLSListings.com&t=1867259|doliphant@apr.com||12176|||San mateo||||
EL GRANADA|USA|CA||555 Santiago Street|||94019|||None|||Central Forced Air - Gas|2017-08-18 23:10:41|Grade - Mostly Level|0.225|MLSLV4|70000822|Nate & Rose Serdy|APR-11|Half Moon Bay||2018-02-01 01:08:09|ML81674730|Single Family|||785000.00|Single Family|2|1|0||Cabrillo Unified|El Granada Elementary|Half Moon Bay High|Manuel F. Cunha Intermediate||1030||||1925|Active|Single Story "fixer upper" home situated on a mostly flat, approximately 1/4 acre corner lot, in an ideal quaint lower El Granada location. Across the street from El Granada Elementary, near Coastal Trail and other walking trails, Quarry Park and beaches. Mature and lush exterior. Gas and Central Forced Air at the property. Bring your imagination and take advantage a great potential Coastside investment opportunity.||N|N|N|N|Y|http://tour.bayareatourwizards.com/4611/|serdyteam@apr.com||12176|||San mateo||||
CARMEL|USA|CA||25646 Carmel Knolls Drive|||93923|Cooktop - Gas,Countertop - Granite|65.00|None|||Central Forced Air - Gas,Fireplace|2017-08-19 14:03:29|Grade - Mostly Level|0.28|MLSLV4|01435082|Greg Albertson|APR-09|Carmel||2018-02-01 01:08:09|ML81674767|Single Family|Open Beam Ceiling||1195000.00|Single Family|3|2|0||Carmel Unified|Carmel River Elementary|Carmel High|Carmel Middle||2010||||1963|Active|Located at the private end of Carmel Knolls Drive is this comfortable 2010 sq ft single level home and large lot. The home backs up to Hatton Canyon Park and sits on 12,197 sq ft lot with plenty of parking including fenced back yard for pets or entertainment. The kitchen was extensively updated in 2015 with granite counters, custom wood cabinets, and high end appliances. It is also within the coveted Carmel School District. Note that third bedroom is very small and adjacent to kitchen.||N|N|N|N|Y||galbertson@apr.com||12176|||Monterey||||
CARMEL|USA|CA||24673 Upper Trail|||93923|Dishwasher,Garbage Disposal,Oven - Built-In,Pantry,Refrigerator||None|||Central Forced Air|2017-08-21 00:00:00||0.367|MLSLV4|01981092|Maria Finkle|APR-09|Carmel||2018-02-01 01:08:09|ML81674844|Single Family|Bay Window,Garden Window,Walk-in Closet ,Wet Bar||1999000.00|Single Family|4|4|0||Carmel Unified|||||2884||||1939|Active|This Carmel Charmer will grab your heart strings on first glance. It sits on the top of Upper Trail and features gorgeous Ocean Views that reach as far as Point Lobos from both the living area a second story bedroom. Easy on and off of Highway 1 and a minute drive to downtown Carmel-by-the-Sea. This home has a large lot with mature gardens, fruit trees, brick path ways, tile patio area, two car garage with built in cabinets and electric car charger, good size driveway, two fireplaces, hand stacked stone fences, kitchen pantry, laundry room, office, and cubbies for storage and hiding treasures. Not to be missed.||N|N|N|N|Y|http://tours.tourfactory.com/tours/tour.asp?r=MLSListings.com&t=1854249|mfinkle@apr.com||12176|||Monterey||||
HILLSBOROUGH|USA|CA||190 Bridge Road|||94010|Cooktop - Gas,Countertop - Marble,Dishwasher,Freezer,Island,Refrigerator,Wine Refrigerator||None|||Central Forced Air|2017-09-01 10:50:20||2|MLSLV4|01134529|Erica Damelio|APR-06|San Mateo||2018-02-01 01:08:09|ML81676240|Single Family|High Ceiling ,Security Gate,Vaulted Ceiling ,Walk-in Closet||18995000.00|Single Family|7|6|3||Hillsborough City Elementary|South Hillsborough||Crocker Middle||10582||||1925|Active|Stunning Tudor style estate offers thoroughly modern amenities enveloped in historically significant architecture located on approximately 2 flat acres on one of Hillsborough's most desirable streets. This remodeled home features 7 bedrooms, 6 baths & 3 half baths, library, home offices, custom home theater, gourmet kitchen with spacious eating room and expansive family room. Plus an updated one bedroom, two bath guest house. The spectacular private grounds include a vast lawn area, pool, spa, heated outdoor patio area, outdoor kitchen, firepit, tennis court and vegetable garden.||N|N|N|N|Y|https://protect-us.mimecast.com/s/kJ6aB0igAAXahL|edamelio@apr.com||12176|||San mateo||||
CARMEL|USA|CA||0 Monte Verde 2 NW Santa Lucia|||93921|Cooktop - Gas,Countertop - Ceramic,Dishwasher,Garbage Disposal,Oven - Built-In,Refrigerator,Skylight||None|||Central Forced Air - Gas|2017-09-02 19:50:11|Views|0.092|MLSLV4|00703550|Judie Profeta|APR-09|Carmel||2018-02-01 01:08:09|ML81676377|Single Family|High Ceiling ,Walk-in Closet||2599000.00|Single Family|3|2|1||Carmel Unified|Carmel River Elementary|Carmel High|Carmel Middle||1725||||1990|Active|Garden Gate is the epitome of a Carmel cottage light and bright with lots of windows and French doors that open to four different patio areas surrounded by lovely gardens. Sounds of the ocean surf add to the ambiance. Master suite is on the main living level and the two guest rooms on separate level with their own private patio. Fabulous roof top deck with fire pit has Point Lobos and ocean views. Located in the golden rectangle the beach is no far away! Very open floor plan with high ceilings this home says welcome every time you step through the door.||N|N|N|N|Y||jprofeta@apr.com||12176|||Monterey||||
